YEAR,SPECIES,HOOKS,NUM_CAUGHT,DiD_BETA,SPECIFICATION,FE_SPECIFICATION
2010,BIGEYE TUNA,1435451,3995,0.6577918414020215,100NM,timeFE
2010,YELLOWFIN TUNA,1435451,1137,0.18797942803764658,100NM,timeFE
2011,BIGEYE TUNA,3241600,11766,0.6577918414020215,100NM,timeFE
2011,YELLOWFIN TUNA,3241600,3758,0.18797942803764658,100NM,timeFE
2012,BIGEYE TUNA,3530509,13009,0.6577918414020215,100NM,timeFE
2012,YELLOWFIN TUNA,3530509,2796,0.18797942803764658,100NM,timeFE
2013,BIGEYE TUNA,2507535,8973,0.6577918414020215,100NM,timeFE
2013,YELLOWFIN TUNA,2507535,1911,0.18797942803764658,100NM,timeFE
2014,BIGEYE TUNA,2082433,10374,0.6577918414020215,100NM,timeFE
2014,YELLOWFIN TUNA,2082433,1813,0.18797942803764658,100NM,timeFE
2015,BIGEYE TUNA,1917030,8876,0.6577918414020215,100NM,timeFE
2015,YELLOWFIN TUNA,1917030,2127,0.18797942803764658,100NM,timeFE
2016,BIGEYE TUNA,1376914,4970,0.6577918414020215,100NM,timeFE
2016,YELLOWFIN TUNA,1376914,1824,0.18797942803764658,100NM,timeFE
2017,BIGEYE TUNA,1134462,5921,0.6577918414020215,100NM,timeFE
2017,YELLOWFIN TUNA,1134462,3379,0.18797942803764658,100NM,timeFE
2018,BIGEYE TUNA,2288652,11140,0.6577918414020215,100NM,timeFE
2018,YELLOWFIN TUNA,2288652,4556,0.18797942803764658,100NM,timeFE
2019,BIGEYE TUNA,3262936,14041,0.6577918414020215,100NM,timeFE
2019,YELLOWFIN TUNA,3262936,5513,0.18797942803764658,100NM,timeFE
2010,BIGEYE TUNA,4529372,13493,0.3410955408303801,200NM,timeFE
2010,YELLOWFIN TUNA,4529372,2426,0.27073121007057704,200NM,timeFE
2011,BIGEYE TUNA,7601124,28605,0.3410955408303801,200NM,timeFE
2011,YELLOWFIN TUNA,7601124,8733,0.27073121007057704,200NM,timeFE
2012,BIGEYE TUNA,8324400,30915,0.3410955408303801,200NM,timeFE
2012,YELLOWFIN TUNA,8324400,6816,0.27073121007057704,200NM,timeFE
2013,BIGEYE TUNA,6435853,22258,0.3410955408303801,200NM,timeFE
2013,YELLOWFIN TUNA,6435853,4843,0.27073121007057704,200NM,timeFE
2014,BIGEYE TUNA,5853192,27910,0.3410955408303801,200NM,timeFE
2014,YELLOWFIN TUNA,5853192,4332,0.27073121007057704,200NM,timeFE
2015,BIGEYE TUNA,5787179,28092,0.3410955408303801,200NM,timeFE
2015,YELLOWFIN TUNA,5787179,5233,0.27073121007057704,200NM,timeFE
2016,BIGEYE TUNA,5852191,25119,0.3410955408303801,200NM,timeFE
2016,YELLOWFIN TUNA,5852191,7825,0.27073121007057704,200NM,timeFE
2017,BIGEYE TUNA,5124942,24702,0.3410955408303801,200NM,timeFE
2017,YELLOWFIN TUNA,5124942,12591,0.27073121007057704,200NM,timeFE
2018,BIGEYE TUNA,8386819,35208,0.3410955408303801,200NM,timeFE
2018,YELLOWFIN TUNA,8386819,14493,0.27073121007057704,200NM,timeFE
2019,BIGEYE TUNA,9289477,34996,0.3410955408303801,200NM,timeFE
2019,YELLOWFIN TUNA,9289477,14216,0.27073121007057704,200NM,timeFE
2010,BIGEYE TUNA,10087824,32727,0.4323083865999974,300NM,timeFE
2010,YELLOWFIN TUNA,10087824,5033,0.1945451653298467,300NM,timeFE
2011,BIGEYE TUNA,14296661,55943,0.4323083865999974,300NM,timeFE
2011,YELLOWFIN TUNA,14296661,15268,0.1945451653298467,300NM,timeFE
2012,BIGEYE TUNA,14875813,53122,0.4323083865999974,300NM,timeFE
2012,YELLOWFIN TUNA,14875813,12347,0.1945451653298467,300NM,timeFE
2013,BIGEYE TUNA,12348279,43451,0.4323083865999974,300NM,timeFE
2013,YELLOWFIN TUNA,12348279,8514,0.1945451653298467,300NM,timeFE
2014,BIGEYE TUNA,11555219,52019,0.4323083865999974,300NM,timeFE
2014,YELLOWFIN TUNA,11555219,7389,0.1945451653298467,300NM,timeFE
2015,BIGEYE TUNA,11547917,53911,0.4323083865999974,300NM,timeFE
2015,YELLOWFIN TUNA,11547917,10254,0.1945451653298467,300NM,timeFE
2016,BIGEYE TUNA,13085062,57048,0.4323083865999974,300NM,timeFE
2016,YELLOWFIN TUNA,13085062,16857,0.1945451653298467,300NM,timeFE
2017,BIGEYE TUNA,12409397,56659,0.4323083865999974,300NM,timeFE
2017,YELLOWFIN TUNA,12409397,27618,0.1945451653298467,300NM,timeFE
2018,BIGEYE TUNA,17786472,69571,0.4323083865999974,300NM,timeFE
2018,YELLOWFIN TUNA,17786472,27851,0.1945451653298467,300NM,timeFE
2019,BIGEYE TUNA,18607865,66941,0.4323083865999974,300NM,timeFE
2019,YELLOWFIN TUNA,18607865,26108,0.1945451653298467,300NM,timeFE
